 date ; ip ; id ; refr ; cookies.langCode ; req_id ; geo ; geo.con ; geo.iso ; geo.city ; ua.isMobile ; ua.isTablet ; ua.isiPad ; ua.isiPod ; ua.isiPhone ; ua.isAndroid ; ua.isBlackberry ; ua.isOpera ; ua.isIE ; ua.isIECompatibilityMode ; ua.isSafari ; ua.isFirefox ; ua.isWebkit ; ua.isChrome ; ua.isKonqueror ; ua.isOmniWeb ; ua.isSeaMonkey ; ua.isFlock ; ua.isAmaya ; ua.isEpiphany ; ua.isDesktop ; ua.isWindows ; ua.isLinux ; ua.isLinux64 ; ua.isMac ; ua.isChromeOS ; ua.isBada ; ua.isSamsung ; ua.isRaspberry ; ua.isBot ; ua.isCurl ; ua.isAndroidTablet ; ua.isWinJs ; ua.isKindleFire ; ua.isSilk ; ua.silkAccelerated ; ua.browser ; ua.version ; ua.os ; ua.platform ; ua.source 
 2015-07-31T11:09:28.162Z ; 94.98.216.207 ; 1c37fc08-bd61-4980-9b85-1a67b5339a6a ; https://simplio.com/en ;  ; f123e7b6-924e-4e6a-a86e-dd6abada77e6 ;  AS , SA , Riyadh  ; AS ; SA ; Riyadh ; true ; true ; true ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Safari ; 8.0 ; OS X ; iPad ; Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4 
 2015-07-31T11:13:40.448Z ; 94.230.233.62 ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ; https://simplio.com/ ;  ; 6d94e271-17ac-4414-a9d9-2546e482d8dc ;  AS , UZ , Tashkent  ; AS ; UZ ; Tashkent ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.130 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36 
 2015-07-31T11:14:19.041Z ; 91.196.95.101 ; 5522381b-1458-4dde-9273-83c591b88c69 ; http://frontend-test.simplio.com/ ;  ; 046a66a9-7a05-49b7-981a-d46aaf856a79 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 40.0.2214.111 ; Linux ; Linux ; Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36 
 2015-07-31T11:15:42.005Z ; 94.230.233.62 ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ; https://simplio.com/ ;  ; eb53f384-cce6-4de6-8299-de5f03648125 ;  AS , UZ , Tashkent  ; AS ; UZ ; Tashkent ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.130 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36 
 2015-07-31T11:15:45.353Z ; 78.26.151.205 ; 9cb02127-a475-4f00-a4e3-e887e0fa02d7 ; https://simplio.com/es ;  ; 8b0b9c17-6e24-4140-a1d7-86b49515c6a2 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T11:16:04.558Z ; 91.196.95.99 ; cdc9effd-8d70-42ab-abeb-7f8ba0181044 ; http://local.simplio.com:8080/es/payment?id=@172.31.9.137_2926d173d5fd90e74b76b714432b0a0f.1438339010.6085@26 ; es ; c0235bc9-edb5-4db5-9f02-e16b97cff679 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T11:16:36.341Z ; 37.203.18.147 ; 45164a8e-6767-4b92-8f65-d78a3b6c2f65 ; https://simplio.com/ ;  ; 45164a8e-6767-4b92-8f65-d78a3b6c2f65 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.107 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.107 Safari/537.36 
 2015-07-31T11:16:43.967Z ; 176.16.196.80 ; a1cd8586-1624-4bf7-85a1-3cf468efc573 ; https://m.simplio.com/en/payment?id=@172.31.8.94_a138a1bfd73c10f9bbbc2b113c1e6eb7.1438341368.2727@1&afid=momondo_us&aver=en ;  ; a1cd8586-1624-4bf7-85a1-3cf468efc573 ;  AS , SA ,   ; AS ; SA ;  ; true ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.93 ; Linux ; Android ; Mozilla/5.0 (Linux; Android 4.4.4; 2014818 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.93 Mobile Safari/537.36 
 2015-07-31T11:17:43.181Z ; 91.196.95.101 ; 5522381b-1458-4dde-9273-83c591b88c69 ; http://frontend-test.simplio.com/en/result?from=London&fromCode=LON&to=Paris&toCode=PAR&fromAir=All%20Airports&fromAirCode=LON&toAir=All%20Airports&toAirCode=PAR&adult=1&youth=0&children=0&infants=0&cabin_class=Y&way=roundtrip&date1=2015-08-21&date2=2015-08-29 ;  ; 7c0cbec4-e965-455e-9ce3-0012785449ec ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 40.0.2214.111 ; Linux ; Linux ; Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36 
 2015-07-31T11:17:45.932Z ; 94.230.233.62 ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ; https://simplio.com/ ;  ; 9da5adcb-0b6d-4e69-af46-78ad8ac5dd1f ;  AS , UZ , Tashkent  ; AS ; UZ ; Tashkent ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.130 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36 
